 	Area	X	Y	Slice
443	144	63.160	301.646	1
444	87	473.626	332.236	1
445	116	372.871	340.672	1
446	128	106.898	391.789	1
447	107	431.930	393.332	1
448	99	463.369	460.944	1
449	101	246.134	463.530	1
450	114	422.877	152.105	1
451	131	446.187	234.798	1
452	132	291.076	289.833	1
453	149	65.809	300.956	1
454	103	472.034	334.655	1
455	126	371.619	339.032	1
456	122	427.074	393.795	1
457	135	108.863	395.270	1
458	107	464.472	460.061	1
459	107	245.799	461.491	1
460	130	424.562	149.446	1
461	143	445.759	236.437	1
462	142	297.310	289.338	1
463	153	71.840	299.095	1
464	113	470.562	335.013	1
465	137	368.887	340.493	1
466	136	110.346	395.897	1
467	127	431.555	395.909	1
468	126	244.770	460.944	1
469	122	466.205	461	1
470	120	419.150	147.442	1
471	138	443.435	234.333	1
472	144	290.451	284.104	1
473	152	71	298.421	1
474	111	472.905	328.743	1
475	135	370.893	337.159	1
476	121	432.401	392.789	1
477	138	110.471	400.478	1
478	122	467.746	458.426	1
479	121	247.277	459.748	1
480	97	415.861	147.057	1
481	132	443.598	233.508	1
482	137	291.485	281.011	1
483	145	73.831	301.776	1
484	91	476.852	328.907	1
485	120	370.017	333.192	1
486	114	428.105	392.623	1
487	127	114.421	401.358	1
488	106	247.057	457.330	1
489	99	470.702	459.894	1
490	91	413.115	144.533	1
491	131	441.615	238.340	1
492	134	287.194	280.030	1
493	137	78.201	305.573	1
494	102	477.324	328.980	1
495	115	366.874	331.204	1
496	112	428.125	394.946	1
497	127	116.618	401.091	1
498	108	248.426	455.194	1
499	102	474.127	461.020	1
500	115	412.048	141.222	1
501	136	442.184	236.309	1
502	142	285.472	279.465	1
503	146	80.130	304.575	1
504	112	474.920	327.071	1
505	129	365.779	330.570	1
506	122	433.426	393.074	1
507	134	110.619	404.134	1
508	120	476.725	457.283	1
509	122	247.090	459.639	1
510	140	408.521	140.179	1
511	144	437.125	237.069	1
512	146	283.781	268.397	1
513	143	80.304	303.591	1
514	117	475.021	326.004	1
515	134	365.716	331.873	1
516	131	435.324	393.958	1
517	136	110.287	405.713	1
518	126	475.841	455.913	1
519	124	245.798	461.548	1
520	112	404.232	143.188	1
521	134	439.373	237.649	1
522	141	279.848	269.869	1
523	148	77.142	306.865	1
524	103	473.053	320.374	1
525	122	364.230	333.582	1
526	121	433.913	397.442	1
527	136	107.507	403.338	1
528	114	474.026	457.930	1
529	117	247.970	462.184	1
530	96	406.250	144.854	1
531	126	441.532	236.111	1
532	134	282.642	264.299	1
533	136	79.522	307.522	1
534	92	472.728	321.946	1
535	116	372.431	334.155	1
536	124	107.008	400.040	1
537	107	431.977	400.192	1
538	99	476.066	459.035	1
539	101	238.797	463.114	1
540	106	411.811	146.755	1
541	131	441.317	236.225	1
542	136	278.485	259.324	1
543	147	75.187	302.956	1
544	98	472.204	326.071	1
545	124	374.919	333.565	1
546	122	427	400.426	1
547	132	108.795	401.432	1
548	113	233.854	458.119	1
549	108	475.333	458.204	1
550	122	412.918	146.934	1
551	141	444.663	242.564	1
552	146	280.260	258.616	1
553	155	76.494	301.042	1
554	117	474.312	328.312	1
555	131	373.218	332.775	1
556	130	427.238	400.231	1
557	140	111.643	402.050	1
558	120	231.625	452.392	1
